state,reporting_coverage,index,rate,year
Connecticut,76,Property Crime Index,1555,2e3
Delaware,50,Property Crime Index,3571,2e3
District of Columbia,0,Property Crime Index,NA,2e3
Florida,98,Property Crime Index,2443,2e3
Georgia,48,Property Crime Index,1381,2e3
Hawaii,88,Property Crime Index,1744,2e3
Idaho,99,Property Crime Index,2461,2e3
Illinois,23,Property Crime Index,2763,2e3
Indiana,64,Property Crime Index,1722,2e3
Iowa,88,Property Crime Index,1943,2e3
Kansas,0,Property Crime Index,NA,2e3
Kentucky,6,Property Crime Index,1984,2e3
Louisiana,69,Property Crime Index,1810,2e3
Maine,98,Property Crime Index,1907,2e3
Maryland,84,Property Crime Index,1904,2e3
Massachusetts,76,Property Crime Index,686,2e3
Michigan,85,Property Crime Index,1092,2e3
Minnesota,94,Property Crime Index,2174,2e3
Mississippi,50,Property Crime Index,1945,2e3
Missouri,52,Property Crime Index,2229,2e3
Montana,38,Property Crime Index,1883,2e3
Nebraska,91,Property Crime Index,2483,2e3
Nevada,98,Property Crime Index,2409,2e3
New Hampshire,59,Property Crime Index,1022,2e3
New Jersey,97,Property Crime Index,1269,2e3
New Mexico,63,Property Crime Index,1467,2e3
New York,35,Property Crime Index,1437,2e3
North Carolina,79,Property Crime Index,1697,2e3
North Dakota,89,Property Crime Index,2220,2e3
Ohio,52,Property Crime Index,1488,2e3
Oklahoma,100,Property Crime Index,1675,2e3
Oregon,81,Property Crime Index,2503,2e3
Pennsylvania,75,Property Crime Index,1451,2e3
Rhode Island,95,Property Crime Index,1430,2e3
South Carolina,28,Property Crime Index,1700,2e3
South Dakota,79,Property Crime Index,2220,2e3
Tennessee,69,Property Crime Index,1044,2e3
Texas,96,Property Crime Index,1553,2e3
Utah,70,Property Crime Index,2888,2e3
Vermont,81,Property Crime Index,926,2e3
Virginia,73,Property Crime Index,1006,2e3
Washington,69,Property Crime Index,2933,2e3
West Virginia,49,Property Crime Index,884,2e3
Wisconsin,0,Property Crime Index,NA,2e3
Wyoming,100,Property Crime Index,1895,2e3
United States,72,Drug abuse,649,2e3
Alabama,71,Drug abuse,264,2e3
Alaska,91,Drug abuse,517,2e3
Arizona,91,Drug abuse,894,2e3
Arkansas,86,Drug abuse,321,2e3
California,100,Drug abuse,583,2e3
Colorado,76,Drug abuse,805,2e3
Connecticut,76,Drug abuse,671,2e3
Delaware,50,Drug abuse,1387,2e3
District of Columbia,0,Drug abuse,NA,2e3
Florida,98,Drug abuse,884,2e3
Georgia,48,Drug abuse,490,2e3
Hawaii,88,Drug abuse,422,2e3
Idaho,99,Drug abuse,483,2e3
Illinois,23,Drug abuse,2868,2e3
Indiana,64,Drug abuse,523,2e3
Iowa,88,Drug abuse,413,2e3
Kansas,0,Drug abuse,NA,2e3
Kentucky,6,Drug abuse,623,2e3
Louisiana,69,Drug abuse,568,2e3
Maine,98,Drug abuse,619,2e3
Maryland,84,Drug abuse,1281,2e3
Massachusetts,76,Drug abuse,419,2e3
Michigan,85,Drug abuse,342,2e3
Minnesota,94,Drug abuse,889,2e3
Mississippi,50,Drug abuse,617,2e3
Missouri,52,Drug abuse,789,2e3
Montana,38,Drug abuse,333,2e3
Nebraska,91,Drug abuse,719,2e3
Nevada,98,Drug abuse,777,2e3
New Hampshire,59,Drug abuse,690,2e3
New Jersey,97,Drug abuse,876,2e3
New Mexico,63,Drug abuse,581,2e3
New York,35,Drug abuse,635,2e3
North Carolina,79,Drug abuse,507,2e3
North Dakota,89,Drug abuse,354,2e3
Ohio,52,Drug abuse,422,2e3
Oklahoma,100,Drug abuse,500,2e3
Oregon,81,Drug abuse,653,2e3
Pennsylvania,75,Drug abuse,557,2e3
Rhode Island,95,Drug abuse,641,2e3
South Carolina,28,Drug abuse,682,2e3
South Dakota,79,Drug abuse,675,2e3
Tennessee,69,Drug abuse,423,2e3
Texas,96,Drug abuse,601,2e3
Utah,70,Drug abuse,580,2e3
Vermont,81,Drug abuse,312,2e3
Virginia,73,Drug abuse,398,2e3
Washington,69,Drug abuse,598,2e3
West Virginia,49,Drug abuse,185,2e3
Wisconsin,0,Drug abuse,NA,2e3
Wyoming,100,Drug abuse,765,2e3
United States,72,Weapons,116,2e3
Alabama,71,Weapons,59,2e3
Alaska,91,Weapons,101,2e3
Arizona,91,Weapons,81,2e3
Arkansas,86,Weapons,85,2e3
California,100,Weapons,160,2e3
Colorado,76,Weapons,188,2e3
Connecticut,76,Weapons,106,2e3
Delaware,50,Weapons,262,2e3
District of Columbia,0,Weapons,NA,2e3
Florida,98,Weapons,109,2e3
Georgia,48,Weapons,115,2e3
Hawaii,88,Weapons,45,2e3
Idaho,99,Weapons,132,2e3
Illinois,23,Weapons,427,2e3
Indiana,64,Weapons,44,2e3
Iowa,88,Weapons,47,2e3
Kansas,0,Weapons,NA,2e3
Kentucky,6,Weapons,73,2e3
Louisiana,69,Weapons,89,2e3
Maine,98,Weapons,28,2e3
Maryland,84,Weapons,188,2e3
Massachusetts,76,Weapons,39,2e3
Michigan,85,Weapons,56,2e3
Minnesota,94,Weapons,153,2e3
Mississippi,50,Weapons,93,2e3
Missouri,52,Weapons,125,2e3
Montana,38,Weapons,58,2e3
Nebraska,91,Weapons,106,2e3
Nevada,98,Weapons,191,2e3
New Hampshire,59,Weapons,34,2e3
New Jersey,97,Weapons,172,2e3
New Mexico,63,Weapons,143,2e3
New York,35,Weapons,96,2e3
North Carolina,79,Weapons,159,2e3
North Dakota,89,Weapons,40,2e3
Ohio,52,Weapons,86,2e3
Oklahoma,100,Weapons,90,2e3
Oregon,81,Weapons,94,2e3
Pennsylvania,75,Weapons,100,2e3
Rhode Island,95,Weapons,108,2e3
South Carolina,28,Weapons,118,2e3
South Dakota,79,Weapons,93,2e3
Tennessee,69,Weapons,65,2e3
Texas,96,Weapons,69,2e3
Utah,70,Weapons,143,2e3
Vermont,81,Weapons,15,2e3
Virginia,73,Weapons,102,2e3
Washington,69,Weapons,153,2e3
West Virginia,49,Weapons,27,2e3
Wisconsin,0,Weapons,NA,2e3
Wyoming,100,Weapons,88,2e3
United States,73,Violent Crime Index,320,2001
Alabama,75,Violent Crime Index,127,2001
Alaska,90,Violent Crime Index,268,2001
Arizona,95,Violent Crime Index,274,2001
Arkansas,71,Violent Crime Index,114,2001
California,100,Violent Crime Index,416,2001
Colorado,78,Violent Crime Index,247,2001
Connecticut,90,Violent Crime Index,326,2001
Delaware,90,Violent Crime Index,392,2001
District of Columbia,0,Violent Crime Index,NA,2001
Florida,100,Violent Crime Index,607,2001
Georgia,48,Violent Crime Index,286,2001
Hawaii,88,Violent Crime Index,212,2001
Idaho,92,Violent Crime Index,152,2001
Illinois,23,Violent Crime Index,931,2001
Indiana,69,Violent Crime Index,371,2001
Iowa,70,Violent Crime Index,186,2001
Kansas,0,Violent Crime Index,NA,2001
Kentucky,22,Violent Crime Index,242,2001
Louisiana,72,Violent Crime Index,403,2001
Maine,97,Violent Crime Index,107,2001
Maryland,71,Violent Crime Index,531,2001
Massachusetts,81,Violent Crime Index,418,2001
Michigan,83,Violent Crime Index,149,2001
Minnesota,73,Violent Crime Index,152,2001
Mississippi,41,Violent Crime Index,110,2001
Missouri,82,Violent Crime Index,284,2001
Montana,57,Violent Crime Index,176,2001
Nebraska,78,Violent Crime Index,114,2001
Nevada,98,Violent Crime Index,266,2001
New Hampshire,53,Violent Crime Index,117,2001
New Jersey,96,Violent Crime Index,366,2001
New Mexico,46,Violent Crime Index,302,2001
New York,32,Violent Crime Index,290,2001
North Carolina,91,Violent Crime Index,317,2001
North Dakota,86,Violent Crime Index,53,2001
Ohio,53,Violent Crime Index,213,2001
Oklahoma,94,Violent Crime Index,248,2001
Oregon,92,Violent Crime Index,178,2001
Pennsylvania,79,Violent Crime Index,411,2001
Rhode Island,91,Violent Crime Index,250,2001
South Carolina,30,Violent Crime Index,410,2001
South Dakota,48,Violent Crime Index,160,2001
Tennessee,80,Violent Crime Index,188,2001
Texas,97,Violent Crime Index,199,2001
Utah,76,Violent Crime Index,117,2001
Vermont,84,Violent Crime Index,66,2001
Virginia,77,Violent Crime Index,131,2001
Washington,79,Violent Crime Index,272,2001
West Virginia,49,Violent Crime Index,37,2001
Wisconsin,17,Violent Crime Index,741,2001
Wyoming,98,Violent Crime Index,165,2001
United States,73,Property Crime Index,1572,2001
Alabama,75,Property Crime Index,888,2001
Alaska,90,Property Crime Index,2121,2001
Arizona,95,Property Crime Index,2036,2001
Arkansas,71,Property Crime Index,1269,2001
California,100,Property Crime Index,1326,2001
Colorado,78,Property Crime Index,2358,2001
Connecticut,90,Property Crime Index,1389,2001
Delaware,90,Property Crime Index,2215,2001
District of Columbia,0,Property Crime Index,NA,2001
Florida,100,Property Crime Index,2336,2001
Georgia,48,Property Crime Index,1423,2001
Hawaii,88,Property Crime Index,1691,2001
Idaho,92,Property Crime Index,2322,2001
Illinois,23,Property Crime Index,2598,2001
Indiana,69,Property Crime Index,1481,2001
Iowa,70,Property Crime Index,1662,2001
Kansas,0,Property Crime Index,NA,2001
Kentucky,22,Property Crime Index,1675,2001
Louisiana,72,Property Crime Index,2161,2001
Maine,97,Property Crime Index,1964,2001
Maryland,71,Property Crime Index,1903,2001
Massachusetts,81,Property Crime Index,706,2001
Michigan,83,Property Crime Index,1160,2001
Minnesota,73,Property Crime Index,1824,2001
Mississippi,41,Property Crime Index,1747,2001
Missouri,82,Property Crime Index,1754,2001
Montana,57,Property Crime Index,2209,2001
Nebraska,78,Property Crime Index,2297,2001
Nevada,98,Property Crime Index,2227,2001
New Hampshire,53,Property Crime Index,1127,2001
New Jersey,96,Property Crime Index,1095,2001
New Mexico,46,Property Crime Index,1368,2001
New York,32,Property Crime Index,1380,2001
North Carolina,91,Property Crime Index,1684,2001
North Dakota,86,Property Crime Index,2074,2001
Ohio,53,Property Crime Index,1331,2001
Oklahoma,94,Property Crime Index,1540,2001
Oregon,92,Property Crime Index,2110,2001
Pennsylvania,79,Property Crime Index,1386,2001
Rhode Island,91,Property Crime Index,1363,2001
South Carolina,30,Property Crime Index,1411,2001
South Dakota,48,Property Crime Index,2688,2001
Tennessee,80,Property Crime Index,988,2001
Texas,97,Property Crime Index,1424,2001
Utah,76,Property Crime Index,2461,2001
Vermont,84,Property Crime Index,771,2001
Virginia,77,Property Crime Index,880,2001
Washington,79,Property Crime Index,2260,2001
West Virginia,49,Property Crime Index,462,2001
Wisconsin,17,Property Crime Index,3184,2001
Wyoming,98,Property Crime Index,1930,2001
United States,73,Drug abuse,636,2001
Alabama,75,Drug abuse,265,2001
Alaska,90,Drug abuse,487,2001
Arizona,95,Drug abuse,936,2001
Arkansas,71,Drug abuse,381,2001
California,100,Drug abuse,583,2001
Colorado,78,Drug abuse,811,2001
Connecticut,90,Drug abuse,701,2001
Delaware,90,Drug abuse,465,2001
District of Columbia,0,Drug abuse,NA,2001
Florida,100,Drug abuse,857,2001
Georgia,48,Drug abuse,468,2001
Hawaii,88,Drug abuse,467,2001
Idaho,92,Drug abuse,535,2001
Illinois,23,Drug abuse,2827,2001
Indiana,69,Drug abuse,445,2001
Iowa,70,Drug abuse,361,2001
Kansas,0,Drug abuse,NA,2001
Kentucky,22,Drug abuse,700,2001
Louisiana,72,Drug abuse,602,2001
Maine,97,Drug abuse,581,2001
Maryland,71,Drug abuse,1538,2001
Massachusetts,81,Drug abuse,434,2001
Michigan,83,Drug abuse,374,2001
Minnesota,73,Drug abuse,578,2001
Mississippi,41,Drug abuse,586,2001
Missouri,82,Drug abuse,621,2001
Montana,57,Drug abuse,194,2001
Nebraska,78,Drug abuse,804,2001
Nevada,98,Drug abuse,653,2001
New Hampshire,53,Drug abuse,830,2001
New Jersey,96,Drug abuse,828,2001
New Mexico,46,Drug abuse,716,2001
New York,32,Drug abuse,704,2001
North Carolina,91,Drug abuse,474,2001
North Dakota,86,Drug abuse,389,2001
Ohio,53,Drug abuse,419,2001
Oklahoma,94,Drug abuse,444,2001
Oregon,92,Drug abuse,575,2001
Pennsylvania,79,Drug abuse,589,2001
Rhode Island,91,Drug abuse,597,2001
South Carolina,30,Drug abuse,643,2001
South Dakota,48,Drug abuse,861,2001
Tennessee,80,Drug abuse,448,2001
Texas,97,Drug abuse,592,2001
Utah,76,Drug abuse,558,2001
Vermont,84,Drug abuse,312,2001
Virginia,77,Drug abuse,378,2001
Washington,79,Drug abuse,548,2001
West Virginia,49,Drug abuse,108,2001
Wisconsin,17,Drug abuse,977,2001
Wyoming,98,Drug abuse,951,2001
United States,73,Weapons,115,2001
Alabama,75,Weapons,34,2001
Alaska,90,Weapons,97,2001
Arizona,95,Weapons,78,2001
Arkansas,71,Weapons,73,2001
California,100,Weapons,162,2001
Colorado,78,Weapons,156,2001
Connecticut,90,Weapons,93,2001
Delaware,90,Weapons,277,2001
District of Columbia,0,Weapons,NA,2001
Florida,100,Weapons,113,2001
Georgia,48,Weapons,119,2001
Hawaii,88,Weapons,28,2001
Idaho,92,Weapons,114,2001
Illinois,23,Weapons,446,2001
Indiana,69,Weapons,41,2001
Iowa,70,Weapons,36,2001
Kansas,0,Weapons,NA,2001
Kentucky,22,Weapons,65,2001
Louisiana,72,Weapons,91,2001
Maine,97,Weapons,51,2001
Maryland,71,Weapons,218,2001
Massachusetts,81,Weapons,41,2001
Michigan,83,Weapons,59,2001
Minnesota,73,Weapons,79,2001
Mississippi,41,Weapons,90,2001
Missouri,82,Weapons,115,2001
Montana,57,Weapons,25,2001
Nebraska,78,Weapons,102,2001
Nevada,98,Weapons,157,2001
New Hampshire,53,Weapons,37,2001
New Jersey,96,Weapons,187,2001
New Mexico,46,Weapons,188,2001
New York,32,Weapons,96,2001
North Carolina,91,Weapons,164,2001
North Dakota,86,Weapons,56,2001
Ohio,53,Weapons,85,2001
Oklahoma,94,Weapons,67,2001
Oregon,92,Weapons,84,2001
Pennsylvania,79,Weapons,99,2001
Rhode Island,91,Weapons,123,2001
South Carolina,30,Weapons,142,2001
South Dakota,48,Weapons,77,2001
Tennessee,80,Weapons,99,2001
Texas,97,Weapons,63,2001
Utah,76,Weapons,112,2001
Vermont,84,Weapons,21,2001
Virginia,77,Weapons,86,2001
Washington,79,Weapons,118,2001
West Virginia,49,Weapons,10,2001
Wisconsin,17,Weapons,499,2001
Wyoming,98,Weapons,116,2001
United States,77,Violent Crime Index,295,2002
Alabama,84,Violent Crime Index,138,2002
Alaska,91,Violent Crime Index,257,2002
Arizona,95,Violent Crime Index,259,2002
Arkansas,52,Violent Crime Index,169,2002
California,99,Violent Crime Index,365,2002
Colorado,81,Violent Crime Index,231,2002
Connecticut,70,Violent Crime Index,197,2002
Delaware,85,Violent Crime Index,330,2002
District of Columbia,0,Violent Crime Index,NA,2002
Florida,99,Violent Crime Index,517,2002
Georgia,49,Violent Crime Index,263,2002
Hawaii,77,Violent Crime Index,286,2002
Idaho,97,Violent Crime Index,157,2002
Illinois,23,Violent Crime Index,898,2002
Indiana,69,Violent Crime Index,337,2002
Iowa,91,Violent Crime Index,244,2002
Kansas,49,Violent Crime Index,168,2002
Kentucky,23,Violent Crime Index,291,2002
Louisiana,71,Violent Crime Index,398,2002
Maine,100,Violent Crime Index,99,2002
Maryland,59,Violent Crime Index,299,2002
Massachusetts,73,Violent Crime Index,428,2002
Michigan,96,Violent Crime Index,172,2002
Minnesota,83,Violent Crime Index,184,2002
Mississippi,54,Violent Crime Index,120,2002
Missouri,84,Violent Crime Index,298,2002
Montana,66,Violent Crime Index,157,2002
Nebraska,91,Violent Crime Index,107,2002
Nevada,71,Violent Crime Index,221,2002
New Hampshire,64,Violent Crime Index,118,2002
New Jersey,97,Violent Crime Index,354,2002
New Mexico,64,Violent Crime Index,307,2002
New York,33,Violent Crime Index,314,2002
North Carolina,83,Violent Crime Index,310,2002
North Dakota,90,Violent Crime Index,61,2002
Ohio,57,Violent Crime Index,185,2002
Oklahoma,98,Violent Crime Index,243,2002
Oregon,84,Violent Crime Index,133,2002
Pennsylvania,85,Violent Crime Index,398,2002
Rhode Island,98,Violent Crime Index,257,2002
South Carolina,54,Violent Crime Index,407,2002
South Dakota,69,Violent Crime Index,80,2002
Tennessee,85,Violent Crime Index,195,2002
Texas,98,Violent Crime Index,194,2002
Utah,95,Violent Crime Index,175,2002
Vermont,86,Violent Crime Index,47,2002
Virginia,86,Violent Crime Index,128,2002
Washington,84,Violent Crime Index,230,2002
West Virginia,51,Violent Crime Index,54,2002
Wisconsin,91,Violent Crime Index,349,2002
Wyoming,98,Violent Crime Index,106,2002
United States,77,Property Crime Index,1511,2002
Alabama,84,Property Crime Index,773,2002
Alaska,91,Property Crime Index,2375,2002
Arizona,95,Property Crime Index,1938,2002
Arkansas,52,Property Crime Index,1393,2002
California,99,Property Crime Index,1225,2002
Colorado,81,Property Crime Index,2215,2002
Connecticut,70,Property Crime Index,1147,2002
Delaware,85,Property Crime Index,1405,2002
District of Columbia,0,Property Crime Index,NA,2002
Florida,99,Property Crime Index,2170,2002
Georgia,49,Property Crime Index,1320,2002
Hawaii,77,Property Crime Index,1669,2002
Idaho,97,Property Crime Index,2254,2002
Illinois,23,Property Crime Index,2323,2002
Indiana,69,Property Crime Index,1352,2002
Iowa,91,Property Crime Index,1957,2002
Kansas,49,Property Crime Index,1211,2002
Kentucky,23,Property Crime Index,1646,2002
Louisiana,71,Property Crime Index,1949,2002
Maine,100,Property Crime Index,2004,2002
Maryland,59,Property Crime Index,1630,2002
Massachusetts,73,Property Crime Index,709,2002
Michigan,96,Property Crime Index,964,2002
Minnesota,83,Property Crime Index,2046,2002
Mississippi,54,Property Crime Index,1735,2002
Missouri,84,Property Crime Index,1685,2002
Montana,66,Property Crime Index,2182,2002
Nebraska,91,Property Crime Index,2266,2002
Nevada,71,Property Crime Index,2083,2002
New Hampshire,64,Property Crime Index,1062,2002
New Jersey,97,Property Crime Index,1039,2002
New Mexico,64,Property Crime Index,1144,2002
New York,33,Property Crime Index,1485,2002
North Carolina,83,Property Crime Index,1563,2002
North Dakota,90,Property Crime Index,2146,2002
Ohio,57,Property Crime Index,1105,2002
Oklahoma,98,Property Crime Index,1476,2002
Oregon,84,Property Crime Index,1826,2002
Pennsylvania,85,Property Crime Index,1258,2002
Rhode Island,98,Property Crime Index,1464,2002
South Carolina,54,Property Crime Index,1548,2002
South Dakota,69,Property Crime Index,1686,2002
Tennessee,85,Property Crime Index,899,2002
Texas,98,Property Crime Index,1383,2002
Utah,95,Property Crime Index,2480,2002
Vermont,86,Property Crime Index,750,2002
Virginia,86,Property Crime Index,862,2002
Washington,84,Property Crime Index,2031,2002
West Virginia,51,Property Crime Index,541,2002
Wisconsin,91,Property Crime Index,3207,2002
Wyoming,98,Property Crime Index,1649,2002
United States,77,Drug abuse,571,2002
Alabama,84,Drug abuse,219,2002
Alaska,91,Drug abuse,547,2002
Arizona,95,Drug abuse,740,2002
Arkansas,52,Drug abuse,308,2002
California,99,Drug abuse,549,2002
Colorado,81,Drug abuse,729,2002
Connecticut,70,Drug abuse,471,2002
Delaware,85,Drug abuse,447,2002
District of Columbia,0,Drug abuse,NA,2002
Florida,99,Drug abuse,718,2002
Georgia,49,Drug abuse,440,2002
Hawaii,77,Drug abuse,429,2002
Idaho,97,Drug abuse,498,2002
Illinois,23,Drug abuse,2541,2002
Indiana,69,Drug abuse,454,2002
Iowa,91,Drug abuse,417,2002
Kansas,49,Drug abuse,458,2002
Kentucky,23,Drug abuse,668,2002
Louisiana,71,Drug abuse,533,2002
Maine,100,Drug abuse,541,2002
Maryland,59,Drug abuse,797,2002
Massachusetts,73,Drug abuse,399,2002
Michigan,96,Drug abuse,324,2002
Minnesota,83,Drug abuse,614,2002
Mississippi,54,Drug abuse,551,2002
Missouri,84,Drug abuse,585,2002
Montana,66,Drug abuse,270,2002
Nebraska,91,Drug abuse,669,2002
Nevada,71,Drug abuse,313,2002
New Hampshire,64,Drug abuse,725,2002
New Jersey,97,Drug abuse,763,2002
New Mexico,64,Drug abuse,545,2002
New York,33,Drug abuse,706,2002
North Carolina,83,Drug abuse,417,2002
North Dakota,90,Drug abuse,381,2002
Ohio,57,Drug abuse,345,2002
Oklahoma,98,Drug abuse,439,2002
Oregon,84,Drug abuse,520,2002
Pennsylvania,85,Drug abuse,564,2002
Rhode Island,98,Drug abuse,577,2002
South Carolina,54,Drug abuse,636,2002
South Dakota,69,Drug abuse,597,2002
Tennessee,85,Drug abuse,372,2002
Texas,98,Drug abuse,538,2002
Utah,95,Drug abuse,565,2002
Vermont,86,Drug abuse,323,2002
Virginia,86,Drug abuse,370,2002
Washington,84,Drug abuse,496,2002
West Virginia,51,Drug abuse,122,2002
Wisconsin,91,Drug abuse,884,2002
Wyoming,98,Drug abuse,824,2002
United States,77,Weapons,105,2002
Alabama,84,Weapons,30,2002
Alaska,91,Weapons,69,2002
Arizona,95,Weapons,69,2002
Arkansas,52,Weapons,61,2002
California,99,Weapons,162,2002
Colorado,81,Weapons,144,2002
Connecticut,70,Weapons,77,2002
Delaware,85,Weapons,244,2002
District of Columbia,0,Weapons,NA,2002
Florida,99,Weapons,100,2002
Georgia,49,Weapons,103,2002
Hawaii,77,Weapons,35,2002
Idaho,97,Weapons,111,2002
Illinois,23,Weapons,384,2002
Indiana,69,Weapons,34,2002
Iowa,91,Weapons,37,2002
Kansas,49,Weapons,35,2002
Kentucky,23,Weapons,60,2002
Louisiana,71,Weapons,71,2002
Maine,100,Weapons,33,2002
Maryland,59,Weapons,133,2002
Massachusetts,73,Weapons,33,2002
Michigan,96,Weapons,54,2002
Minnesota,83,Weapons,86,2002
Mississippi,54,Weapons,78,2002
Missouri,84,Weapons,97,2002
Montana,66,Weapons,32,2002
Nebraska,91,Weapons,68,2002
Nevada,71,Weapons,63,2002
New Hampshire,64,Weapons,15,2002
New Jersey,97,Weapons,178,2002
New Mexico,64,Weapons,142,2002
New York,33,Weapons,96,2002
North Carolina,83,Weapons,154,2002
North Dakota,90,Weapons,42,2002
Ohio,57,Weapons,66,2002
Oklahoma,98,Weapons,83,2002
Oregon,84,Weapons,58,2002
Pennsylvania,85,Weapons,98,2002
Rhode Island,98,Weapons,138,2002
South Carolina,54,Weapons,142,2002
South Dakota,69,Weapons,76,2002
Tennessee,85,Weapons,83,2002
Texas,98,Weapons,61,2002
Utah,95,Weapons,105,2002
Vermont,86,Weapons,15,2002
Virginia,86,Weapons,73,2002
Washington,84,Weapons,92,2002
West Virginia,51,Weapons,22,2002
Wisconsin,91,Weapons,231,2002
Wyoming,98,Weapons,76,2002
United States,76,Violent Crime Index,291,2003
Alabama,91,Violent Crime Index,126,2003
Alaska,97,Violent Crime Index,243,2003
Arizona,96,Violent Crime Index,223,2003
Arkansas,66,Violent Crime Index,130,2003
California,99,Violent Crime Index,364,2003
Colorado,71,Violent Crime Index,231,2003
Connecticut,65,Violent Crime Index,290,2003
Delaware,99,Violent Crime Index,595,2003
District of Columbia,0,Violent Crime Index,NA,2003
Florida,100,Violent Crime Index,524,2003
Georgia,54,Violent Crime Index,266,2003
Hawaii,100,Violent Crime Index,197,2003
Idaho,94,Violent Crime Index,160,2003
Illinois,23,Violent Crime Index,944,2003
Indiana,74,Violent Crime Index,317,2003
Iowa,90,Violent Crime Index,251,2003
Kansas,48,Violent Crime Index,131,2003
Kentucky,26,Violent Crime Index,229,2003
Louisiana,73,Violent Crime Index,355,2003
Maine,100,Violent Crime Index,78,2003
Maryland,100,Violent Crime Index,505,2003
Massachusetts,70,Violent Crime Index,269,2003
Michigan,96,Violent Crime Index,166,2003
Minnesota,83,Violent Crime Index,176,2003
Mississippi,48,Violent Crime Index,136,2003
Missouri,97,Violent Crime Index,295,2003
Montana,60,Violent Crime Index,202,2003
Nebraska,86,Violent Crime Index,96,2003
Nevada,0,Violent Crime Index,NA,2003
New Hampshire,69,Violent Crime Index,71,2003
New Jersey,93,Violent Crime Index,386,2003
New Mexico,55,Violent Crime Index,220,2003
New York,45,Violent Crime Index,264,2003
North Carolina,79,Violent Crime Index,310,2003
North Dakota,85,Violent Crime Index,45,2003
Ohio,49,Violent Crime Index,150,2003
Oklahoma,100,Violent Crime Index,217,2003
Oregon,91,Violent Crime Index,149,2003
Pennsylvania,84,Violent Crime Index,402,2003
Rhode Island,100,Violent Crime Index,288,2003
South Carolina,13,Violent Crime Index,47,2003
South Dakota,86,Violent Crime Index,108,2003
Tennessee,84,Violent Crime Index,223,2003
Texas,94,Violent Crime Index,185,2003
Utah,72,Violent Crime Index,216,2003
Vermont,77,Violent Crime Index,81,2003
Virginia,75,Violent Crime Index,106,2003
Washington,74,Violent Crime Index,246,2003
West Virginia,45,Violent Crime Index,40,2003
Wisconsin,76,Violent Crime Index,184,2003
Wyoming,95,Violent Crime Index,88,2003
United States,76,Property Crime Index,1442,2003
Alabama,91,Property Crime Index,764,2003
Alaska,97,Property Crime Index,2202,2003
Arizona,96,Property Crime Index,1774,2003
Arkansas,66,Property Crime Index,1282,2003
California,99,Property Crime Index,1180,2003
Colorado,71,Property Crime Index,2051,2003
Connecticut,65,Property Crime Index,1347,2003
Delaware,99,Property Crime Index,1583,2003
District of Columbia,0,Property Crime Index,NA,2003
Florida,100,Property Crime Index,2128,2003
